pid	iowa_id	omics_analysis	sex	group	runseq	corticosterone	glucagon	glucose	glycerol	insulin	insulin_pm	insulin_uu_ml	ketones	lactate	leptin	nefa
10619259	06MST24	TRUE	Male	1W	54	84	18.1	171	1.02	2755	475	63.365	626	1.19	42103	0.66
10044841	06F8T11	TRUE	Female	8W	55	13	69.6	161	1.51	2176	375.2	50.048	846	1.35	13833	0.79
10027084	06M8T22	FALSE	Male	8W	56	49	33.7	160	0.87	2959	510.2	68.057	419	1.78	18958	0.96
10093702	06M4T6	FALSE	Male	4W	57	56	31.5	164	1.49	4521	779.5	103.983	633	1.75	19602	0.8
10729518	06FST4	TRUE	Female	2W	58	33	58.7	150	1.41	2195	378.4	50.485	767	1.43	13772	0.64
10044760	06F8T10	TRUE	Female	8W	59	5	60.6	172	1.09	2113	364.3	48.599	854	1.31	7784	0.73
10063633	06M4T3	FALSE	Male	4W	60	21	29.2	172	0.78	2866	494.1	65.918	389	1.66	21554	0.67
10175431	06M4T15	FALSE	Male	4W	61	19	9.2	176	0.85	1851	319.1	42.573	498	1.43	21794	0.59
10877894	06FST19	FALSE	Female	2W	62	49	108.9	147	1.27	2911	501.9	66.953	1034	1.31	14068	0.68
10531599	06MST13	FALSE	Male	2W	63	41	42.7	194	1.41	3359	579.1	77.257	527	1.59	30234	0.79
10088113	06M4T5	FALSE	Male	4W	64	46	57.4	170	1.75	4918	847.9	113.114	690	1.55	23070	1.1
10045651	06F8T18	FALSE	Female	8W	65	5	62.3	170	1.19	2490	429.3	57.27	565	1.55	15333	0.64
10589325	06MST20	TRUE	Male	2W	66	44	33.5	169	1.32	2963	510.9	68.149	656	1.47	16875	0.75
10962735	06FST28	FALSE	Female	1W	67	23	83.9	146	1.25	1683	290.2	38.709	981	1.11	10864	0.62
10026193	06M8T15	TRUE	Male	8W	68	39	46.7	174	0.96	3134	540.3	72.082	257	1.97	14927	0.47
10046038	06F8T21	FALSE	Female	SED	69	5	76.5	168	1.64	2882	496.9	66.286	690	1.34	23839	0.57
10564179	06MST18	FALSE	Male	2W	70	117	49	187	0.99	3948	680.7	90.804	643	1.24	39409	0.85
10398651	06F4T19	FALSE	Female	4W	71	31	81.9	183	1.57	4189	722.2	96.347	481	1.65	18306	0.9
10387021	06F4T17	FALSE	Female	4W	72	48	64.1	175	1.84	2803	483.3	64.469	632	1.42	26244	1.03
10502300	06MST11	TRUE	Male	2W	73	5	25.7	182	1.5	3251	560.5	74.773	552	1.29	23146	0.75
10381414	06F4T16	TRUE	Female	4W	74	5	54.8	166	1.42	2173	374.7	49.979	603	1.3	16226	0.69
10220917	06M4T20	TRUE	Male	4W	75	97	35	197	0.84	2501	431.2	57.523	700	1.15	31315	0.65
10044256	06F8T7	TRUE	Female	8W	76	5	114.1	163	2.61	2055	354.3	47.265	873	1.6	11923	1.32
10486003	06MST9	TRUE	Male	2W	77	5	37.6	176	1.76	2553	440.2	58.719	937	1.27	19912	1.02
10337199	06F4T12	TRUE	Female	4W	78	33	46.6	167	1.16	2035	350.9	46.805	417	1.97	14109	0.7
10026002	06M8T14	FALSE	Male	SED	79	10	36.4	169	1.16	3674	633.4	84.502	644	1.79	39248	0.98
10411690	06F4T20	TRUE	Female	4W	80	10	43.7	167	2.35	2351	405.3	54.073	594	1.51	16073	1.12
10043527	06F8T1	TRUE	Female	SED	81	47	145.7	147	1.29	2249	387.8	51.727	803	1.8	14278	0.53
10027599	06M8T27	TRUE	Male	SED	82	66	32.3	184	1.15	3262	562.4	75.026	453	1.36	45889	0.71
10026436	06M8T18	FALSE	Male	8W	83	27	42.5	169	1.44	3443	593.6	79.189	744	1.33	29980	0.8
10553053	06MST16	FALSE	Male	1W	84	60	20	160	1.03	4342	748.6	99.866	462	1.02	33106	0.57
10478337	06MST8	FALSE	Male	1W	85	21	50.2	160	1.28	3616	623.4	83.168	874	1.13	23112	0.72
10338918	06F4T13	FALSE	Female	4W	86	34	51.8	166	1.28	2209	380.9	50.807	576	1.34	15374	0.63
10934529	06FST24	TRUE	Female	1W	87	61	88.2	168	0.77	1965	338.8	45.195	866	1.17	9144	0.46
10025464	06M8T8	FALSE	Male	SED	88	23	34.3	174	1	2909	501.6	66.907	834	1.35	33783	0.77
10424911	06MST3	TRUE	Male	1W	89	84	35	176	1.38	2605	449.1	59.915	396	1.52	33978	0.76
10953744	06FST27	TRUE	Female	1W	90	96	133.1	146	1.14	2302	396.9	52.946	645	1.31	12808	0.42
10950486	06FST25	TRUE	Female	1W	91	44	88.7	161	1.07	1920	331	44.16	865	1.39	9698	0.6
10760008	06FST9	FALSE	Female	1W	92	18	55	182	1.18	2871	495	66.033	572	1.41	16708	0.33
10784616	06FST14	FALSE	Female	1W	93	49	63.1	153	1.48	1745	300.9	40.135	661	1.3	20695	0.62
10046461	06F8T24	TRUE	Female	8W	94	71	81.1	150	1.23	2358	406.6	54.234	553	1.52	14665	0.8
10046976	06F8T29	FALSE	Female	8W	95	58	51.5	157	1.19	1829	315.3	42.067	939	1.23	9586	0.92
10335064	06F4T10	TRUE	Female	4W	96	34	37.5	156	1.48	2792	481.4	64.216	955	1.04	14103	0.85
10024816	06M8T4	FALSE	Male	SED	97	20	4.2	167	0.67	1347	232.2	30.981	883	1.24	44655	0.53
10045732	06F8T19	FALSE	Female	8W	98	36	94.1	151	1.39	2186	376.9	50.278	633	1.81	13455	0.79
10027408	06M8T26	FALSE	Male	8W	99	22	34.7	184	0.52	2533	436.7	58.259	261	1.61	12251	0.61
10971645	06FST29	TRUE	Female	2W	100	18	152.9	131	0.9	5701	982.9	131.123	1053	1.16	8930	0.59
10503110	06MST12	TRUE	Male	1W	101	24	27.5	185	1.49	2949	508.4	67.827	519	1.2	35022	0.83
10026940	06M8T21	FALSE	Male	8W	102	22	30.7	175	0.86	2662	459	61.226	366	1.61	26217	0.57
10044094	06F8T5	FALSE	Female	SED	103	43	61.5	NA	NA	514	88.6	11.822	928	NA	10055	NA
10139044	06M4T11	TRUE	Male	4W	104	5	57.8	168	1.86	2805	483.6	64.515	775	1.43	25798	1.04
10700102	06FST2	TRUE	Female	1W	105	5	59	161	1.59	2098	361.7	48.254	887	1.17	14513	0.8
10901000	06FST21	FALSE	Female	1W	106	20	76.6	165	1.2	2843	490.2	65.389	645	1.44	17137	0.55
10026274	06M8T16	FALSE	Male	SED	107	62	5	169	0.81	196	33.8	4.508	566	1.61	10814	0.44
