id	feature_ID	metabolite_refmet	CURRENT_REFMET_NAME	refmet_name	metabolite_name	lipid_class	chain_length	double_bond	sn_position	super_class	main_class	sub_class	Final_Class_Edited	formula	exactmass	pubchem_cid	kegg_id	inchi_key	lm_id	hmdb_id	chebi_id	is_review	NEW_CLASSES	Proposed.Classification	Added.By	Final_Class	CUSTOM_CLASS	Source	X	dataset
C12 carnitine	15	C12 carnitine	CAR(12:0)	CAR 12:0	CAR(12:0)	C12 carnitine	Car	12	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C19H37NO4	343.2723	168381	C02301	FUJLYHJROOYKRA-QGZVFWFLSA-N	LMFA07070062	HMDB0002250	77086	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C12:1 carnitine	16	C12:1 carnitine	CAR(12:1)	CAR 12:1	CAR(12:1)	Car(12:1)_feature1	Car	12	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C19H35NO4	341.2566	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C14 carnitine	17	C14 carnitine	CAR(14:0)	CAR 14:0	CAR(14:0)	C14 carnitine	Car	14	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C21H41NO4	371.3036	53477791	C02301	PSHXNVGSVNEJBD-LJQANCHMSA-N	LMFA07070107	HMDB0005066	84634	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C14:1 carnitine	18	C14:1 carnitine	CAR(14:1)	CAR 14:1	CAR(14:1)	C14:1 carnitine	Car	14	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C21H39NO4	369.2879	NA	C02301				NA	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C14:2 carnitine	19	C14:2 carnitine	CAR(14:2)	CAR 14:2	CAR(14:2)	C14:2 carnitine	Car	14	2	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C21H37NO4	367.2723	NA	C02301				NA	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
Car(16:0)_feature1	20	Car(16:0)_feature1	CAR(16:0)	CAR 16:0	CAR(16:0)	C16 carnitine	Car	16	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C23H45NO4	399.3349	11953816	C02990	XOMRRQXKHMYMOC-OAQYLSRUSA-N	LMFA07070004	HMDB0000222	17490	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
Car(18:0)_feature1	21	Car(18:0)_feature1	CAR(18:0)	CAR 18:0	CAR(18:0)	C18 carnitine	Car	18	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C25H49NO4	427.3662	52922056	C02301	FNPHNLNTJNMAEE-HSZRJFAPSA-N	LMFA07070008	HMDB0000848	84644	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
C18:1 carnitine	22	C18:1 carnitine	CAR(18:1)	CAR 18:1	CAR(18:1)	Car(18:1)	Car	18	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C25H47NO4	425.3505	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C18:2 carnitine	23	C18:2 carnitine	CAR(18:2)	CAR 18:2	CAR(18:2)	Car(18:2)	Car	18	2	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C25H45NO4	423.3349	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C2 carnitine	24	C2 carnitine	CAR(2:0)	CAR 2:0	CAR(2:0)	C2 carnitine	Car	2	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C9H17NO4	203.1158	18230	C02571	RDHQFKQIGNGIED-QMMMGPOBSA-N	LMFA07070049		86045	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
