id	feature_ID	metabolite_refmet	CURRENT_REFMET_NAME	refmet_name	metabolite_name	lipid_class	chain_length	double_bond	sn_position	super_class	main_class	sub_class	Final_Class_Edited	formula	exactmass	pubchem_cid	kegg_id	inchi_key	lm_id	hmdb_id	chebi_id	is_review	NEW_CLASSES	Proposed.Classification	Added.By	Final_Class	CUSTOM_CLASS	Source	X	dataset
CoA(2:0-COOH)_and_CoA(4:0-OH)	196	CoA(2:0-COOH)_and_CoA(4:0-OH)	Malonyl-CoA/Hydroxybutyryl-CoA	Malonyl-CoA/Hydroxybutyryl-CoA	Malonyl-CoA/Hydroxybutyryl-CoA	CoA(2:0-COOH)_and_CoA(4:0-OH)	Acyl CoAs	NA	NA	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C24H38N7O19P3S	853.1156	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(3:0)	197	CoA(3:0)	Propionyl-CoA	Propionyl-CoA	Propionyl-CoA	CoA(3:0)	Acyl CoAs	3	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C24H40N7O17P3S	823.1414	92753	C00100	QAQREVBBADEHPA-IEXPHMLFSA-N	LMFA07050364	HMDB01275	15539	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(3:0, 3-OH)	198	CoA(3:0, 3-OH)	3-Hydroxypropanoyl-CoA	3-Hydroxypropanoyl-CoA	3-Hydroxypropanoyl-CoA	CoA(3:0, 3-OH)	Acyl CoAs	3	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C24H40N7O18P3S	839.1363	11966171	C05668	BERBFZCUSMQABM-IEXPHMLFSA-N	LMFA07050226		27762	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(3:0-COOH)	199	CoA(3:0-COOH)	Succinyl-CoA	Succinyl-CoA	Succinyl-CoA	CoA(3:0-COOH)	Acyl CoAs	3	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C25H40N7O19P3S	867.1313	92133	C00091	VNOYUJKHFWYWIR-ITIYDSSPSA-N	LMFA07050370	HMDB01022	15380	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(4:0)	200	CoA(4:0)	Butyryl-CoA	Butyryl-CoA	Butyryl-CoA	CoA(4:0)	Acyl CoAs	4	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C25H42N7O17P3S	837.1571	122283	C00136	CRFNGMNYKDXRTN-CITAKDKDSA-N	LMFA07050292	HMDB01088	15517	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(4:0-CH3)	201	CoA(4:0-CH3)	Isovaleryl-CoA	Isovaleryl-CoA	Isovaleryl-CoA	CoA(4:0-CH3)	Acyl CoAs	4	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C26H44N7O17P3S	851.1727	165435	C02939	UYVZIWWBJMYRCD-ZMHDXICWSA-N	LMFA07050336	HMDB01113	15487	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(4:0-COOH)	202	CoA(4:0-COOH)	Glutaryl-CoA	Glutaryl-CoA	Glutaryl-CoA	CoA(4:0-COOH)	Acyl CoAs	4	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C26H42N7O19P3S	881.1469	3081383	C00527	SYKWLIJQEHRDNH-CKRMAKSASA-N	LMFA07050324	HMDB01339	15524	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(4:1)	203	CoA(4:1)	Crotonoyl-CoA	Crotonoyl-CoA	Crotonoyl-CoA	CoA(4:1)	Acyl CoAs	4	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C25H40N7O17P3S	835.1414	5497143	C00877	KFWWCMJSYSSPSK-PAXLJYGASA-N	LMFA07050307	HMDB0059627	15473	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(4:1-CH3)	204	CoA(4:1-CH3)	Isopentenoyl-CoA	Isopentenoyl-CoA	Isopentenoyl-CoA	CoA(4:1-CH3)	Acyl CoAs	4	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C26H42N7O17P3S	849.1571	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(4:1-COOH)	205	CoA(4:1-COOH)	Itaconyl-CoA	Itaconyl-CoA	Itaconyl-CoA	CoA(4:1-COOH)	Acyl CoAs	4	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C26H40N7O19P3S	879.1313	11966125	C00531	NFVGYLGSSJPRKW-CITAKDKDSA-N	LMFA07050337		15528	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(6:0)	206	CoA(6:0)	Hexanoyl-CoA	Hexanoyl-CoA	Hexanoyl-CoA	CoA(6:0)	Acyl CoAs	6	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C27H46N7O17P3S	865.1884	449118	C05270	OEXFMSFODMQEPE-HDRQGHTBSA-N	LMFA07050328	HMDB0002845	27540	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(6:1)	207	CoA(6:1)	Hexenoyl-CoA	Hexenoyl-CoA	Hexenoyl-CoA	CoA(6:1)	Acyl CoAs	6	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C27H44N7O17P3S	863.1727	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(8:0)	208	CoA(8:0)	Octanoyl-CoA	Octanoyl-CoA	Octanoyl-CoA	CoA(8:0)	Acyl CoAs	8	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C29H50N7O17P3S	893.2197	445344	C01944	KQMZYOXOBSXMII-CECATXLMSA-N	LMFA07050355	HMDB01070	15533	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(8:1)	209	CoA(8:1)	Octenoyl-CoA	Octenoyl-CoA	Octenoyl-CoA	CoA(8:1)	Acyl CoAs	8	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C29H48N7O17P3S	891.204	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(9:0)	210	CoA(9:0)	Nonanoyl-CoA	Nonanoyl-CoA	Nonanoyl-CoA	CoA(9:0)	Acyl CoAs	9	0	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C30H52N7O17P3S	907.2353	193520	C01942	WLDUTYVSAGSKIV-FUEUKBNZSA-N	LMFA07050354		27770	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
CoA(9:1)	211	CoA(9:1)	Nonenoyl-CoA	Nonenoyl-CoA	Nonenoyl-CoA	CoA(9:1)	Acyl CoAs	9	1	NA	Fatty Acyls	Fatty esters	Acyl CoAs	Lipids and Lipid related compounds	C30H50N7O17P3S	905.2197	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-acoa
coenzyme A	212	coenzyme A	Coenzyme A	Coenzyme A	Coenzyme A	coenzyme A	NA	NA	NA	NA	Nucleic acids	Purines	Coenzyme A	Nucleotides and derivatives	C21H36N7O16P3S	767.1152	87642	C00010	RGJOEKWQDUBAIZ-IBOSZNHHSA-N		HMDB0001423	15346	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-acoa
ADP-ribose	213	ADP-ribose	ADP-ribose	ADP-ribose	ADP-ribose	ADP-ribose	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNDP	Nucleotides and derivatives	C15H23N5O14P2	559.0717	33576	C00301	SRNWOUGRCWSEMX-TYASJMOZSA-N			16960	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
AICAR	214	AICAR	Acadesine	Acadesine	Acadesine	AICAR	NA	NA	NA	NA	Nucleic acids	Imidazoles	1-ribosyl-imidazole carboxamides	Other	C9H14N4O5	258.0964	17513		RTRQQBHATOEIAF-UUOKFMHZSA-N			NA	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
CDP	215	CDP	CDP	CDP	CDP	CDP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNDP	Nucleotides and derivatives	C9H15N3O11P2	403.0182	6132	C00112	ZWIADYZPOWUWEW-XVFCMESISA-N		HMDB0001546	17239	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
CTP	216	CTP	CTP	CTP	CTP	CTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNTP	Nucleotides and derivatives	C9H16N3O14P3	482.9845	6176	C00063	PCDQPRRSZKQHHS-XVFCMESISA-N		HMDB0000082	17677	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
GDP-mannose	217	GDP-mannose	GDP-mannose	GDP-mannose	GDP-mannose	GDP-mannose	NA	NA	NA	NA	Nucleic acids	Purines	Purine nucleotide sugars	Nucleotides and derivatives	C16H25N5O16P2	605.0772	1.35e+08	C00096	MVMSCBBUIHUTGJ-GDJBGNAASA-N		HMDB0001163	15820	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
GTP	218	GTP	GTP	GTP	GTP	GTP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNTP	Nucleotides and derivatives	C10H16N5O14P3	522.9907	1.35e+08	C00044	XKMLYUALXHKNFT-UUOKFMHZSA-N		HMDB0001273	15996	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
NMN	219	NMN	Nicotinamide ribotide	Nicotinamide ribotide	Nicotinamide ribotide	NMN	NA	NA	NA	NA	Nucleic acids	Nicotinamides	Nicotinamide nucleotides	Nucleotides and derivatives	C11H15N2O8P	334.0566	1.35e+08	C00455	DAYLJWODMCOQEW-TURQNECASA-N		HMDB0000229	16171	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
NaMN	220	NaMN	Nicotinic acid mononucleotide	Nicotinic acid mononucleotide	Nicotinic acid mononucleotide	NaMN	NA	NA	NA	NA	Organic oxygen compounds	Organooxygen compounds	Organooxygen compounds	Vitamin, vitamin-like substance and Cofactor	C11H16NO9P	337.0563	53477721	C01185	OGCWVIVNTBZPBW-BHRXDNSCSA-N		HMDB0001132	15763	0	Organic Compounds	pigment/Other	NB	Vitamin, vitamin-like substance and Cofactor	pigment,vitamin,cofactor		NA	metab-t-nuc
PRPP	221	PRPP	Phosphoribosyl pyrophosphate	Phosphoribosyl pyrophosphate	Phosphoribosyl pyrophosphate	PRPP	NA	NA	NA	NA	Carbohydrates	Monosaccharides	Monosaccharide phosphates	Energy	C5H13O14P3	389.9518	7339	C00119	PQGCEDQWHSBAJP-TXICZTDVSA-N		HMDB0000280	17111	0	Carbohydrates	Energy	NB	Energy	Carbohydrates		NA	metab-t-nuc
S-AMP	222	S-AMP	Adenylsuccinic acid	Adenylsuccinic acid	Adenylsuccinic acid	S-AMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP	Nucleotides and derivatives	C14H18N5O11P	463.074	440122	C03794	OFBHPPMPBOJXRT-DPXQIYNJSA-N		HMDB0000536	15919	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
S-adenosylhomocysteine	223	S-adenosylhomocysteine	S-Adenosylhomocysteine	S-Adenosylhomocysteine	S-Adenosylhomocysteine	S-adenosylhomocysteine	NA	NA	NA	NA	Carbohydrates	Glycosyl compounds	Glycosylamines	Energy	C14H20N6O5S	384.1216	439155	C00021	ZJUKTBDSGOFHSH-WFMPWKQPSA-N		HMDB0000939	16680	0	Carbohydrates	Energy	NB	Energy	Carbohydrates		NA	metab-t-nuc
UDP-galactose	224	UDP-galactose	UDP-galactose	UDP-galactose	UDP-galactose	UDP-galactose	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNDP	Nucleotides and derivatives	C15H24N2O17P2	566.055	6857410		HSCJRCZFDFQWRP-LNYDKVEPSA-N			18307	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
XMP	225	XMP	XMP	XMP	XMP	XMP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNMP	Nucleotides and derivatives	C10H13N4O9P	364.042	73323	C00655	DCTLYFZHFGENCW-UUOKFMHZSA-N		HMDB0001554	15652	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
ZMP	226	ZMP	AICA ribonucleotide	AICA ribonucleotide	AICA ribonucleotide	ZMP	NA	NA	NA	NA	Nucleic acids	Imidazoles	Imidazole ribonucleosides and ribonucleotides	Other	C9H15N4O8P	338.0628	65110	C04677	NOTGFIUVDGNKRI-UUOKFMHZSA-N		HMDB0001517	18406	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
adenine	227	adenine	Adenine	Adenine	Adenine	adenine	NA	NA	NA	NA	Nucleic acids	Purines	6-aminopurines	Nucleotides and derivatives	C5H5N5	135.0545	190	C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N		HMDB0000034	16708	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
dATP	228	dATP	dATP	dATP	dATP	dATP	NA	NA	NA	NA	Nucleic acids	Purines	Purine dNTP	Nucleotides and derivatives	C10H16N5O12P3	491.0008	15993	C00131	SUYVUBYJARFZHO-RRKCRQDMSA-N		HMDB0001532	16284	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
dCTP	229	dCTP	dCTP	dCTP	dCTP	dCTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine dNTP	Nucleotides and derivatives	C9H16N3O13P3	466.9896	65091	C00458	RGWHQCVHVJXOKC-SHYZEUOFSA-N		HMDB0000998	16311	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
dTTP	230	dTTP	dTTP	dTTP	dTTP	dTTP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine dNTP	Nucleotides and derivatives	C10H17N2O14P3	481.9893	64968	C00459	NHVNXKFIZYSCEB-XLPZGREQSA-N		HMDB0001342	18077	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
11,12-DiHETrE	231	11,12-DiHETrE	11,12-DiHETrE	11,12-DiHETrE	11,12-DiHETrE	11,12-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE	Lipids and Lipid related compounds	C20H34O4	338.2457	5283146	C14774	LRPPQRCHCPFBPE-KROJNAHFSA-N	LMFA03050008	HMDB0002314	63969	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
11,12-EpETrE	232	11,12-EpETrE	11,12-EpETrE	11,12-EpETrE	11,12-EpETrE	11,12-EpETrE	EpETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	EpETrE	Lipids and Lipid related compounds	C20H32O3	320.2351	5283204	C14770	DXOYQVHGIODESM-KROJNAHFSA-N	LMFA03080004		34130	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
12-HETE	233	12-HETE	12-HETE	12-HETE	12-HETE	12-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE	Lipids and Lipid related compounds	C20H32O3	320.2351	13786989		ZNHVWPKMFKADKW-VXBMJZGYSA-N	LMFA03060088		84447	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
13-HODE	234	13-HODE	13-HODE	13-HODE	13-HODE	13-HODE	HODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HODEs	Lipids and Lipid related compounds	C18H32O3	296.2351	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
13-HpODE	235	13-HpODE	13-HpODE	13-HpODE	13-HpODE	13-HpODE	HpODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HpODEs	Lipids and Lipid related compounds	C18H32O4	312.2301	6437847		JDSRHVWSAMTSSN-BSZOFBHHSA-N			91272	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
13-Oxo-ODE	236	13-Oxo-ODE	13-Oxo-ODE	13-Oxo-ODE	13-Oxo-ODE	13-Oxo-ODE	OxoODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	OxoODEs	Lipids and Lipid related compounds	C18H30O3	294.2195	6446027	C14765	JHXAZBBVQSRKJR-BSZOFBHHSA-N	LMFA02000016	HMDB0004668	68947	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
14,15-DiHETrE	237	14,15-DiHETrE	14,15-DiHETrE	14,15-DiHETrE	14,15-DiHETrE	14,15-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE	Lipids and Lipid related compounds	C20H34O4	338.2457	5283147	C14775	SYAWGTIVOGUZMM-ILYOTBPNSA-N	LMFA03050010	HMDB0002265	63966	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
14,15-EpETrE	238	14,15-EpETrE	14,15-EpETrE	14,15-EpETrE	14,15-EpETrE	14,15-EpETrE	EpETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	EpETrE	Lipids and Lipid related compounds	C20H32O3	320.2351	5283205	C14771	JBSCUHKPLGKXKH-ILYOTBPNSA-N	LMFA03080005	HMDB0004264	34157	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
20-HETE	239	20-HETE	20-HETE	20-HETE	20-HETE	20-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE	Lipids and Lipid related compounds	C20H32O3	320.2351	5283157	C14748	NNDIXBJHNLFJJP-DTLRTWKJSA-N	LMFA03060009	HMDB0005998	34306	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
5,6-DiHETrE	240	5,6-DiHETrE	5,6-DiHETrE	5,6-DiHETrE	5,6-DiHETrE	5,6-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE	Lipids and Lipid related compounds	C20H34O4	338.2457	5283142	C14772	GFNYAPAJUNPMGH-QNEBEIHSSA-N	LMFA03050004	HMDB0002343	63974	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
5-HETE	241	5-HETE	5-HETE	5-HETE	5-HETE	5-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE	Lipids and Lipid related compounds	C20H32O3	320.2351	9862886	C04805	KGIJOOYOSFUGPC-XTDASVJISA-N	LMFA03060084		60943	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
8,9-DiHETrE	242	8,9-DiHETrE	8,9-DiHETrE	8,9-DiHETrE	8,9-DiHETrE	8,9-DiHETrE	HETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETrE	Lipids and Lipid related compounds	C20H34O4	338.2457	5283144	C14773	DCJBINATHQHPKO-TYAUOURKSA-N	LMFA03050006	HMDB0002311	63970	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
8,9-EpETrE	243	8,9-EpETrE	8,9-EpETrE	8,9-EpETrE	8,9-EpETrE	8,9-EpETrE	EpETrE	NA	NA	NA	Fatty Acyls	Eicosanoids	EpETrE	Lipids and Lipid related compounds	C20H32O3	320.2351	5283203	C14769	DBWQSCSXHFNTMO-TYAUOURKSA-N	LMFA03080003	HMDB0002232	34490	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
9,10-DiHOME	244	9,10-DiHOME	9,10-DiHOME	9,10-DiHOME	9,10-DiHOME	9,10-DiHOME	DiHOMEs	NA	NA	NA	Fatty Acyls	Octadecanoids	DiHOMEs	Lipids and Lipid related compounds	C18H34O4	314.2457	9966640	C14828	XEBKSQSGNGRGDW-YFHOEESVSA-N	LMFA02000229	HMDB0004704	72663	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
9-HETE	245	9-HETE	9-HETE	9-HETE	9-HETE	9-HETE	HETE	NA	NA	NA	Fatty Acyls	Eicosanoids	HETE	Lipids and Lipid related compounds	C20H32O3	320.2351	14123398		KATOYYZUTNAWSA-OIZRIKEUSA-N	LMFA03060089		72786	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
9-HODE	246	9-HODE	9-HODE	9-HODE	9-HODE	9-HODE	HODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HODEs	Lipids and Lipid related compounds	C18H32O3	296.2351	5282944		NPDSHTNEKLQQIJ-ZJHFMPGASA-N	LMFA02000151	HMDB0062652	68946	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
9-HOTrE	247	9-HOTrE	9-HOTrE	9-HOTrE	9-HOTrE	9-HOTrE	HOTrEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HOTrEs	Lipids and Lipid related compounds	C18H30O3	294.2195	10447175		RIGGEAZDTKMXSI-CUHSZNQNSA-N			72625	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
9S-HpODE	248	9S-HpODE	9S-HpODE	9S-HpODE	9S-HpODE	9S-HpODE	HpODEs	NA	NA	NA	Fatty Acyls	Octadecanoids	HpODEs	Lipids and Lipid related compounds	C18H32O4	312.2301	9548877	C14827	JGUNZIWGNMQSBM-UINYOVNOSA-N	LMFA02000012	HMDB0062434	34498	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
LTB4	249	LTB4	LTB4	LTB4	LTB4	LTB4	Leukotrienes	NA	NA	NA	Fatty Acyls	Eicosanoids	Leukotrienes	Lipids and Lipid related compounds	C20H32O4	336.2301	5280492	C02165	VNYSSYRCGWBHLG-AMOLWHMGSA-N	LMFA03020001	HMDB0001085	15647	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
PGE2	250	PGE2	PGE2	PGE2	PGE2	PGE2	Prostaglandins	NA	NA	NA	Fatty Acyls	Eicosanoids	Prostaglandins	Lipids and Lipid related compounds	C20H32O5	352.225	5280360	C00584	XEYBRNLFEZDVAW-ARSRFYASSA-N	LMFA03010003	HMDB0001220	15551	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
Resolvin D1	251	Resolvin D1	Resolvin D1	Resolvin D1	Resolvin D1	Resolvin D1	Docosanoids	NA	NA	NA	Fatty Acyls	Docosanoids	Docosanoids	Lipids and Lipid related compounds	C22H32O5	376.225	44251266	C18178	OIWTWACQMDFHJG-CCFUIAGSSA-N	LMFA04030011		81564	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
Resolvin D2	252	Resolvin D2	Resolvin D2	Resolvin D2	Resolvin D2	Resolvin D2	Docosanoids	NA	NA	NA	Fatty Acyls	Docosanoids	Docosanoids	Lipids and Lipid related compounds	C22H32O5	376.225	11383310	C18179	IKFAUGXNBOBQDM-XFMPMKITSA-N	LMFA04030001		81565	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
Resolvin D3	253	Resolvin D3	Resolvin D3	Resolvin D3	Resolvin D3	Resolvin D3	Docosanoids	NA	NA	NA	Fatty Acyls	Docosanoids	Docosanoids	Lipids and Lipid related compounds	C22H32O5	376.225	53477497		QBTJOLCUKWLTIC-LWJDKMHHSA-N	LMFA04030012		NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-oxylipneg
ketoisovalerate	254	ketoisovalerate	Ketoisovaleric acid	Ketoisovaleric acid	Ketoisovaleric acid	ketoisovalerate	Branched FA	NA	NA	NA	Fatty Acyls	Fatty acids	Branched FA	Lipids and Lipid related compounds	C5H8O3	116.0473	49	C00141	QHKABHOOEWYVLI-UHFFFAOYSA-N	LMFA01020274	HMDB0000019	16530	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-ka
Arachidonoyl-EA	255	Arachidonoyl-EA	Arachidonoyl-EA	Arachidonoyl-EA	Arachidonoyl-EA	Arachidonoyl-EA	NAE	20	4	NA	Fatty Acyls	Fatty amides	NAE	Lipids and Lipid related compounds	C22H37NO2	347.2824	5281969	C11695	LGEQQWMQCRIYKG-DOFZRALJSA-N	LMFA08040001	HMDB0004080	2700	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-etamidpos
2-Hydroxyglutarate	257	2-Hydroxyglutarate	2-Hydroxyglutaric acid	2-Hydroxyglutaric acid	2-Hydroxyglutaric acid	2-Hydroxyglutarate	Hydroxy FA	NA	NA	NA	Fatty Acyls	Fatty acids	Hydroxy FA	Lipids and Lipid related compounds	C5H8O5	148.0372	439939	C02630	HWXBTNAVRSUOJR-VKHMYHEASA-N		HMDB0000694	32797	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-tca
Isocitrate	258	Isocitrate	Isocitric acid	Isocitric acid	Isocitric acid	Isocitrate	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids	Energy	C6H8O7	192.027	5318532	C00311	ODBLHEXUDAPZAU-ZAFYKAAXSA-N		HMDB0001874	151	0	Organic Acids	Energy	ES	Energy	Organic Acids		NA	metab-t-tca
